Display Name	Customer Number	Currency Code	Billing City	Billing State	Billing Country	Shipping City	Shipping State	Shipping Country	Tax Registration Number	VAT Treatment	EmailID
Table Mountain Cableway (Pty) Ltd	CUS-00158	ZAR	Cape Town	Western Cape	South Africa	Cape Town	Western Cape	South Africa	4140101058	vat_registered	emile@tablemountain.net
Teralco Logistics	CUS-00159	ZAR	Johannesburg	Gauteng	South Africa	Johannesburg	Gauteng	South Africa		vat_not_registered	werner.bossert@teralco.co.za
Thaba Moshate Hotel, Casino and Convention Resort	CUS-00160	ZAR	Burgersfort	Limpopo	South Africa	Burgersfort		South Africa		vat_not_registered	MMugagadeli@thabamoshate.co.za
Thaga Engineering (Pty) Ltd	CUS-00161	ZAR	Johannesburg	Gauteng	South Africa	Centurion	Gauteng	South Africa	4220271193	vat_registered	nare@thagaengineering.co.za
Tharisa Minerals - Genesis	CUS-00162	ZAR	Rustenburg	North-West	South Africa	Rustenburg	North-West	South Africa	4860238387	vat_registered	dsithole@tharisa.com
Tharisa Minerals - Voyager	CUS-00163	ZAR	Rustenburg	North-West	South Africa	Rustenburg	North-West	South Africa	4860238387	vat_registered	ptshabalala@tharisa.com
Tharisa Minerals - Vulcan Plant	CUS-00164	ZAR	Rustenburg	North-West	South Africa	Rustenburg	North-West	South Africa	4860238387	vat_registered	TMaruma@tharisa.com
The South African Breweries	CUS-00165	ZAR	Johannesburg	Gauteng	South Africa			Netherlands	4160180495	vat_registered	Gonasagren.Chetty@za.ab-inbev.com
Thungela Operations (Pty) Ltd	CUS-00166	ZAR	Klipfontein	Western Cape	South Africa	Johannesburg	Gauteng	South Africa	4710102072	vat_registered	ipretorius@proxawater.com
Thungela Operations (Pty) Ltd - Isibonelo Colliery	CUS-00167	ZAR	Johannesburg	Gauteng	South Africa			South Africa	4710102072	vat_registered	thulani.mdhlalose@thungela.com
Tongaat Hulett Limited t/a Tongaat Hulett Sugar	CUS-00168	ZAR	Durban	Kwazulu-Natal	South Africa				4570102634	vat_registered	Trevor.Naidoo@tongaat.com
Tronox KZN Sands (Pty) Ltd	CUS-00169	ZAR	Empangeni	Kwazulu-Natal	South Africa	Empangeni	KwaZulu-Natal	South Africa	4500118130	vat_registered	nicole.seumangal@tronox.com
THM - Twickenham Platinum mine - Hackney Shaft	CUS-00170	ZAR	Driekop	Limpopo	South Africa				4310113883	vat_registered	leonard.mafahla@angloamerican.com
TWK Agri (Pty) Ltd - Richards Bay Woodchip Mill	CUS-00171	ZAR	Richards Bay	Kwazulu-Natal	South Africa	Richards Bay	KwaZulu-Natal	South Africa		vat_not_registered	
Two Rivers Platinum (Pty) Ltd	CUS-00172	ZAR	Lydenburg	Mpumalanga	South Africa	Burgersfort		South Africa	4180194443	vat_registered	elize.bobraine@trp.co.za
Vector Logistics - Belville South, Cape Town	CUS-00173	ZAR	Cape Town	Western Cape	South Africa	Cape Town	Western Cape	South Africa	4380198566	vat_registered	DuaneF@vectorlog.com
Vector Logistics - Linbro Park	CUS-00174	ZAR	Durban	Kwazulu-Natal	South Africa	Johannesburg	Gauteng	South Africa	4380198566	vat_registered	stanleym2@vectorlog.com
Vector Logistics - Nelspruit	CUS-00175	ZAR	Nelspruit	Free State	South Africa	Dürrenhübelstrasse 6		Switzerland	4380198566	vat_registered	WilliamM2@vectorlog.com
Vector Logistics - Polokwane	CUS-00176	ZAR	Durban	Kwazulu-Natal	South Africa	Polokwane	Limpopo	South Africa	4380198566	vat_registered	DavidL@vectorlog.com
Vector Logistics - Thekwini Hub	CUS-00178	ZAR	Johannesburg	Kwazulu-Natal	South Africa	Durban	KwaZulu-Natal	South Africa	4380198566	vat_registered	DavidL@vectorlog.com
Veolia Water Solutions & Technologies SA	CUS-00179	ZAR	Johannesburg	Gauteng	South Africa			Netherlands	4650105341	vat_registered	siva.chetty@veolia.com
WearCheck - Mozambique	CUS-00180	ZAR		Harare	Zimbabwe		Harare	Zimbabwe		overseas	Riaandp@wearcheckRS.com
WearCheck - Namibia	CUS-00181	ZAR			Namibia					overseas	gerritf@wearcheck.co.na
WestonaWestonaria Borwa Mega Project (Pty) Ltd	CUS-00182	ZAR	Johannesburg	Marshalltown	South Africa	Johannesburg	Gauteng	South Africa		vat_not_registered	
Zargodox (Pty) Ltd	CUS-00183	ZAR	Hartebeespoort	North West	South Africa				4400253979	vat_registered	louisv@hartiescableway.co.za
LH Marthinusem	CUS-00186	ZAR							4160247682	vat_registered	
Omnia Fertilizer, a Division of Omnia Group (Pty) Ltd	CUS-00189	ZAR							4680233469	vat_registered	
Anglo American Sishen Kumba Iron Ore	CUS-00190	ZAR	Kathu	Northern Cape	South Africa	Kathu	Northern Cape	South Africa		vat_not_registered	amogelang.gaosekwe@angloamerican.com
Samancor - Dikwena Chrome Smelting (DCR)	CUS-00192	ZAR	Brits	North-West	South Africa	Brits	North-West	South Africa	4040285837	vat_registered	
Samancor - Eastern Chrome Mines Doornbosch (DRB)	CUS-00193	ZAR	Steelpoort	Limpopo	South Africa				4680101393	vat_registered	Lebo.Mosito@SamancorCr.com
Samancor - Eastern Chrome Mines Tweefontein (TFN)	CUS-00194	ZAR	Steelpoort	Limpopo	South Africa	Steelpoort	Limpopo	South Africa	4680101393	vat_registered	Lebo.Mosito@SamancorCr.com
Samancor - Ferrometals (FMT)	CUS-00195	ZAR	Emalahleni (Witbank)	Mpumalanga	South Africa	Emalahleni (Witbank)	Mpumalanga	South Africa	4680101393	vat_registered	frikkie.conradie@samancorcr.com
Samancor - Middelburg Ferrochrome (MFC)	CUS-00196	ZAR	Middelburg	Mpumalanga	South Africa	Middelburg	Mpumalanga	South Africa	4680101393	vat_registered	sibusiso.hlakanyana@samancorcr.com
Samancor - TC Smelter (TCS)	CUS-00197	ZAR	Mooinooi	North-West	South Africa	Mooinooi	North-West	South Africa	4350272946	vat_registered	david@wearcheckrs.com
Samancor - Tubatse Alloy (TAS)	CUS-00198	ZAR	Steelpoort	Limpopo	South Africa	Ga Maroga	Limpopo	South Africa	4380272940	vat_registered	shepherd.jambaya@samancorcr.com
Samancor - Tubatse Ferrochrome (TFC)	CUS-00199	ZAR	Steelpoort	Limpopo	South Africa	Steelpoort		South Africa	4630235275	vat_registered	paul.tsheole@samancorcr.com
Samancor - Western Chrome Mines (WCM)	CUS-00200	ZAR	Mooinooi	North-West	South Africa	Mooinooi	North-West	South Africa	4680101393	vat_registered	klaas.matsepane@samancorcr.com
